Url,Title
http://simplystatistics.org/2013/12/12/the-key-word-in-data-science-is-not-data-it-is-science/,
https://fr.wikipedia.org/index.html#cite_ref-3,
https://fr.wikipedia.org/wiki/Digital_Object_Identifier,Digital Object Identifier
https://dx.doi.org/10.1145/2500499,
https://fr.wikipedia.org/wiki/Semantic_Scholar,Semantic Scholar
https://api.semanticscholar.org/CorpusID:6107147,
http://cacm.acm.org/magazines/2013/12/169933-data-science-and-prediction/fulltext,
https://web.archive.org/web/20141109113411/http://cacm.acm.org/magazines/2013/12/169933-data-science-and-prediction/fulltext,
https://fr.wikipedia.org/index.html#cite_ref-4,
"https://www.oracle.com/fr/what-is-data-science/#:~:text=Un%20data%20scientist%20a%20pour,ces%20mod%C3%A8les%20dans%20des%20applications.",
https://fr.wikipedia.org/index.html#cite_ref-5,
http://stella.atilf.fr/Dendien/scripts/tlfiv5/advanced.exe?8;s=2406530880;,
https://fr.wikipedia.org/index.html#cite_ref-:0_6-0,
https://fr.wikipedia.org/index.html#cite_ref-:0_6-1,
https://journals.openedition.org/framespa/14374,
https://fr.wikipedia.org/index.html#cite_ref-7,
https://fr.wikipedia.org/wiki/International_Standard_Serial_Number,International Standard Serial Number
https://portal.issn.org/resource/issn/0987-3368,
https://fr.wikipedia.org/wiki/Digital_Object_Identifier,Digital Object Identifier
https://dx.doi.org/10.3917/ecofi.135.0257,
https://www.cairn.info/revue-d-economie-financiere-2019-3-page-257.htm,
https://fr.wikipedia.org/index.html#cite_ref-8,
http://www.lirmm.fr/~mroche/Web/STAGES/Stages_2015/SujetM2Heterogeniete_MR_v2.pdf,
http://www.lirmm.fr/~mroche/Web/STAGES/Stages_2015/SujetM2Heterogeniete_MR_v2.pdf,
https://web.archive.org/web/*/http://www.lirmm.fr/~mroche/Web/STAGES/Stages_2015/SujetM2Heterogeniete_MR_v2.pdf,
https://archive.wikiwix.com/cache/?url=http://www.lirmm.fr/~mroche/Web/STAGES/Stages_2015/SujetM2Heterogeniete_MR_v2.pdf,
https://archive.is/http://www.lirmm.fr/~mroche/Web/STAGES/Stages_2015/SujetM2Heterogeniete_MR_v2.pdf,
https://webcache.googleusercontent.com/search?hl=fr&q=cache:http://www.lirmm.fr/~mroche/Web/STAGES/Stages_2015/SujetM2Heterogeniete_MR_v2.pdf,
"https://fr.wikipedia.org/wiki/Projet:Correction_des_liens_externes#J'ai_trouvé_un_lien_mort,_que_faire_?",Projet:Correction des liens externes
https://fr.wikipedia.org/index.html#cite_ref-Inria2014_9-0,
https://fr.wikipedia.org/index.html#cite_ref-Inria2014_9-1,
https://fr.wikipedia.org/index.html#cite_ref-Inria2014_9-2,
https://fr.wikipedia.org/index.html#cite_ref-Inria2014_9-3,
https://fr.wikipedia.org/index.html#cite_ref-Inria2014_9-4,
https://fr.wikipedia.org/index.html#cite_ref-Inria2014_9-5,
https://fr.wikipedia.org/index.html#cite_ref-Inria2014_9-6,
https://fr.wikipedia.org/index.html#cite_ref-Inria2014_9-7,
https://fr.wikipedia.org/index.html#cite_ref-Inria2014_9-8,
https://fr.wikipedia.org/index.html#cite_ref-Inria2014_9-9,
https://fr.wikipedia.org/index.html#cite_ref-Inria2014_9-10,
https://hal.inria.fr/hal-01092062/document,
https://fr.wikipedia.org/index.html#cite_ref-10,
https://roqueleal.me/,
https://fr.wikipedia.org/index.html#cite_ref-11,
https://writingstatement.com/essay-data-science/,
https://fr.wikipedia.org/index.html#cite_ref-Metier25février2021_12-0,
https://fr.wikipedia.org/index.html#cite_ref-Metier25février2021_12-1,
https://fr.wikipedia.org/index.html#cite_ref-Metier25février2021_12-2,
https://fr.wikipedia.org/index.html#cite_ref-Metier25février2021_12-3,
https://fr.wikipedia.org/index.html#cite_ref-Metier25février2021_12-4,
https://fr.wikipedia.org/index.html#cite_ref-Metier25février2021_12-5,
https://fr.wikipedia.org/index.html#cite_ref-Metier25février2021_12-6,
https://fr.wikipedia.org/index.html#cite_ref-Metier25février2021_12-7,
https://www.lebigdata.fr/13-competences-necessaires-devenir-data-scientist,
https://fr.wikipedia.org/index.html#cite_ref-13,
https://datascientest.com/salaire-data-scientist,
https://fr.wikipedia.org/w/index.php?title=Science_des_donn%C3%A9es&veaction=edit&section=8,Modifier la section : Voir aussi
https://fr.wikipedia.org/w/index.php?title=Science_des_donn%C3%A9es&action=edit&section=8,Modifier le code source de la section : Voir aussi
https://commons.wikimedia.org/wiki/Category:Data_science?uselang=fr,
https://fr.wikipedia.org/w/index.php?title=Science_des_donn%C3%A9es&veaction=edit&section=9,Modifier la section : Bibliographie
https://fr.wikipedia.org/w/index.php?title=Science_des_donn%C3%A9es&action=edit&section=9,Modifier le code source de la section : Bibliographie
